แม่กำลังทำอาหารอยู่	mae kam lang tham a han yu	mɛ̄ˋ gam lang tam ā hānˊ yūˋ	媽媽正在煮飯	engine-auto	
น้องสาวกำลังอ่านหนังสืออยู่	nong sao kam lang an nang sue yu	nɔ̄ng~ sāuˊ gam lang ānˇ nangˊ sɯ̄ˊ yūˋ	妹妹正在看書	engine-auto	
เดินเล่น	doen len	dhə̄n lēnˋ	散步	engine-auto	
พี่สาวกำลังเดินเล่นอยู่	phi sao kam lang doen len yu	pīˋ sāuˊ gam lang dhə̄n lēnˋ yūˋ	姊姊正在散步	engine-auto	
กำลังจะ	kam lang cha	gam lang jaˇ	正要	engine-auto	
แฟนกำลังจะไปว่ายน้ำ	faen kam lang cha pai wai nam	fɛ̄n gam lang jaˇ bai wāiˋ nām~	另一半正要去游泳	engine-auto	
แม่กำลังจะออกไปข้างนอก	mae kam lang cha ok pai khang nok	mɛ̄ˋ gam lang jaˇ ɔ̄kˇ bai kāngˋ nɔ̄kˋ	媽媽正要出去外面	engine-auto	
ทำ	Tham	tam	做	engine-auto	
ทำนา	Tham Na	tam nā	種田	engine-auto	
คืนนี้ต้องทำ OT	Khuen Ni Tong Tham OT	kɯ̄n nī~ dɔ̄ngˋ tam OT	今晚得加班	engine-auto	
ทุกวันต้องทำ OT	Thuk Wan Tong Tham OT	tuk~ wan dɔ̄ngˋ tam OT	每天都得加班	engine-auto	
ทำธุระ	Tham Thura	tam tu~ ra~	辦事	engine-auto	
ไปทำธุระ	Pai Tham Thura	bai tam tu~ ra~	去辦事	engine-auto	
จะไปทำธุระ	Cha Pai Tham Thura	jaˇ bai tam tu~ ra~	將要去辦事	engine-auto	
กำลังจะไปทำธุระ	Kam Lang Cha Pai Tham Thura	gam lang jaˇ bai tam tu~ ra~	正要去辦事	engine-auto	
ธุรกิจ	Thura Kit	tun gitˇ	商業 / 生意	book-exact	(book-exact已用引擎重新驗證)
คุณทำธุรกิจอะไร	Khun Tham Thura Kit A Rai	kun tam tun gitˇ aˇ rai	你做什麼生意？	engine-auto	
นักธุรกิจ	Nak Thura Kit	nak~ tun gitˇ	商人 / 生意人	engine-auto	
นักเรียน	Nak Rian	nak~ rīan	學生	engine-auto	
นักร้อง	Nak Rong	nak~ rɔ̄ng~	歌手	engine-auto	
เขาเป็นนักธุรกิจ	Khao Pen Nak Thura Kit	kāuˊ ben nak~ tun gitˇ	他是商人	engine-auto	
ชั้นธุรกิจ	Chan Thura Kit	chan~ tun gitˇ	商務艙	engine-auto	
ทำสัญญา	Tham Sanya	tam sanˊ yā	簽合約 / 簽契約	engine-auto	
ทำสัญญาเช่าห้อง	Tham Sanya Chao Hong	tam sanˊ yā chāuˋ hɔ̄ngˋ	租房間簽約	engine-auto	
ทำสัญญาซื้อบ้าน	Tham Sanya Sue Ban	tam sanˊ yā sɯ̄~ bhānˋ	買房子簽約	engine-auto	
เซ็นสัญญา	Sen Sanya	sen sanˊ yā	簽合約	engine-auto	
เซ็นชื่อ	Sen Chue	sen chɯ̄ˋ	簽名字	engine-auto	
เซ็นสัญญาซื้อบ้าน	Sen Sanya Sue Ban	sen sanˊ yā sɯ̄~ bhānˋ	簽約買房	engine-auto	
ทำบุญ	Tham Bun	tam bhun	做功德	engine-auto	
ชอบทำบุญ	Chop Tham Bun	chɔ̄pˋ tam bhun	喜歡做功德	engine-auto	
ผู้ใหญ่	Phu Yai	pūˋ yaiˇ	長輩 / 成年人	engine-auto	
ผู้ใหญ่ชอบทำบุญ	Phu Yai Chop Tham Bun	pūˋ yaiˇ chɔ̄pˋ tam bhun	長輩喜歡做功德	engine-auto	
ไปทำบุญกัน	Pai Tham Bun Kan	bai tam bhun gan	一起去做功德	engine-auto	
ทำหาย	Tham Hai	tam hāiˊ	弄丟	engine-auto	
หาย	Hai	hāiˊ	消失 / 不見	engine-auto	
ทำกระเป๋าเงินหาย	Tham Krapao Ngoen Hai	tam graˇ bāuˊ ngə̄n hāiˊ	弄丟錢包	engine-auto	
คุณทำกระเป๋าเงินหายที่ไหน	Khun Tham Krapao Ngoen Hai Thi Nai	kun tam graˇ bāuˊ ngə̄n hāiˊ tīˋ naiˊ	你在哪裡弄丟錢包？	engine-auto	
ฉันไม่รู้ทำกระเป๋าเงินหายที่ไหน	Chan Mai Ru Tham Krapao Ngoen Hai Thi Nai	chanˊ maiˋ rū~ tam graˇ bāuˊ ngə̄n hāiˊ tīˋ naiˊ	我不知道在哪裡弄丟錢包	engine-auto	
มือถือหาย	Mue Thue Hai	mɯ̄ tɯ̄ˊ hāiˊ	手機不見了	engine-auto	
ปากกา iPad หาย	Pakka iPad Hai	bākˇ gā iPad hāiˊ	iPad 筆不見了	engine-auto	
หูฟังหาย	Hu Fang Hai	hūˊ fang hāiˊ	耳機不見了	engine-auto	
กระเป๋าเงินหาย	Krapao Ngoen Hai	graˇ bāuˊ ngə̄n hāiˊ	錢包不見了	engine-auto	
คีย์การ์ดหาย	Key Card Hai	kī gātˇ hāiˊ	房卡不見了	engine-auto	
หายหิว	Hai Hiu	hāiˊ hiwˊ	肚子餓的感覺消失了	engine-auto	
หายเหนื่อย	Hai Nueai	hāiˊ nɯ̄aiˇ	累的感覺消失了	engine-auto	
หายคิดถึง	Hai Khit Thueng	hāiˊ kit~ tɯngˊ	思念的感覺緩解了	engine-auto	
หายเหงา	Hai Ngao	hāiˊ ngāuˊ	寂寞的感覺消失了	engine-auto	
หายเมื่อย	Hai Mueai	hāiˊ mɯ̄aiˋ	酸痛的感覺消失了	engine-auto	
ทำเป็น	Tham Pen	tam ben	裝作 / 假裝	engine-auto	
ทำเป็นเก่ง	Tham Pen Keng	tam ben gēngˇ	裝厲害	engine-auto	
ทำเป็นไม่เข้าใจ	Tham Pen Mai Khao Chai	tam ben maiˋ kāuˋ jai	裝不懂	engine-auto	
ทำเป็นไม่รู้เรื่อง	Tham Pen Mai Ru Rueang	tam ben maiˋ rū~ rɯ̄angˋ	裝作不知道（這些事）	engine-auto	
ทำเป็นไม่มีเงิน	Tham Pen Mai Mi Ngoen	tam ben maiˋ mī ngə̄n	裝沒錢	engine-auto	
ทำเป็นไม่รักเขา	Tham Pen Mai Rak Khao	tam ben maiˋ rak~ kāuˊ	裝不愛他	engine-auto	
ทำเป็นใจร้าย	Tham Pen Chai Rai	tam ben jai rāi~	裝壞心眼	engine-auto	
ทำใจไม่ได้	Tham Chai Mai Dai	tam jai maiˋ dhaiˋ	無法接受 / 沒法釋懷	engine-auto	
แฟนนอกใจทำใจไม่ได้	Faen Nok Chai Tham Chai Mai Dai	fɛ̄n nɔ̄kˋ jai tam jai maiˋ dhaiˋ	情人劈腿無法接受	engine-auto	
หุ้นตกทำใจไม่ได้	Hun Tok Tham Chai Mai Dai	hunˋ dokˇ tam jai maiˋ dhaiˋ	股票跌慘了無法接受	engine-auto	
ยายเสียทำใจไม่ได้	Yai Sia Tham Chai Mai Dai	yāi sīaˊ tam jai maiˋ dhaiˋ	外婆過世無法接受	engine-auto	
ทำความสะอาด	Tham Khwam Sa-at	tam kwām saˇ ātˇ	打掃	engine-auto	
ช่วยทำความสะอาดให้หน่อยค่ะ	Chuai Tham Khwam Sa-at Hai Noi Kha	chūayˋ tam kwām saˇ ātˇ haiˋ nɔ̄iˇ kaˋ	請幫忙打掃一下	engine-auto	
สะอาด	Sa-at	saˇ ātˇ	乾淨	engine-auto	
ห้องไม่สะอาด	Hong Mai Sa-at	hɔ̄ngˋ maiˋ saˇ ātˇ	房間不乾淨	engine-auto	
แก้วไม่สะอาด	Kaeo Mai Sa-at	gɛ̄uˋ maiˋ saˇ ātˇ	杯子不乾淨	engine-auto	
จานไม่สะอาด	Chan Mai Sa-at	jān maiˋ saˇ ātˇ	盤子不乾淨	engine-auto	
อีกที	Ik Thi	īkˇ tī	再一次	book-exact	(book-exact已用引擎重新驗證)
พูดอีกที	Phut Ik Thi	pūtˋ īkˇ tī	再說一次	engine-auto	
ช่วยพูดอีกที	Chuai Phut Ik Thi	chūayˋ pūtˋ īkˇ tī	請再說一次	engine-auto	
ช่วยพูดอีกทีได้ไหมคะ	Chuai Phut Ik Thi Dai Mai Kha	chūayˋ pūtˋ īkˇ tī dhaiˋ maiˊ ka~	請再說一次好嗎？（女）	engine-auto	
ช่วยพูดอีกทีได้ไหมครับ ผมฟังไม่เข้าใจ	Chuai Phut Ik Thi Dai Mai Khrap Phom Fang Mai Khao Chai	chūayˋ pūtˋ īkˇ tī dhaiˋ maiˊ krap~ pomˊ fang maiˋ kāuˋ jai	請再說一次好嗎？我不懂（男）	engine-auto	
ผมฟังไม่เข้าใจ ช่วยพูดอีกทีได้ไหมครับ	Phom Fang Mai Khao Chai Chuai Phut Ik Thi Dai Mai Khrap	pomˊ fang maiˋ kāuˋ jai chūayˋ pūtˋ īkˇ tī dhaiˋ maiˊ krap~	我不懂，請再說一次好嗎？（男）	engine-auto	
ฉันฟังไม่เข้าใจ ช่วยพูดอีกทีได้ไหม	Chan Fang Mai Khao Chai Chuai Phut Ik Thi Dai Mai	chanˊ fang maiˋ kāuˋ jai chūayˋ pūtˋ īkˇ tī dhaiˋ maiˊ	我不懂，可以再說一次嗎？（女）	engine-auto	
ผิด	Phit	pitˇ	錯	book-exact	(book-exact已用引擎重新驗證)
ทำผิด	Tham Phit	tam pitˇ	做錯	engine-auto	
ฉันทำผิดแล้ว	Chan Tham Phit Laeo	chanˊ tam pitˇ lɛ̄u~	我做錯了	engine-auto	
ดูผิด	Du Phit	dhū pitˇ	看錯	engine-auto	
ดูผิดคน	Du Phit Khon	dhū pitˇ kon	看錯人	engine-auto	
ผิดทาง	Phit Thang	pitˇ tāng	錯路	engine-auto	
เดินผิดทาง	Doen Phit Thang	dhə̄n pitˇ tāng	走錯路	engine-auto	
พูดผิด	Phut Phit	pūtˋ pitˇ	說錯	engine-auto	
พูดใหม่	Phut Mai	pūtˋ maiˇ	重說	engine-auto	
พูดผิด พูดใหม่	Phut Phit Phut Mai	pūtˋ pitˇ pūtˋ maiˇ	說錯了，重說	engine-auto	
ทำผิด ทำใหม่	Tham Phit Tham Mai	tam pitˇ tam maiˇ	做錯了，重做	engine-auto	
ฉันซื้อผิดแล้ว	Chan Sue Phit Laeo	chanˊ sɯ̄~ pitˇ lɛ̄u~	我買錯了	engine-auto	
ฉันต้องซื้อใหม่	Chan Tong Sue Mai	chanˊ dɔ̄ngˋ sɯ̄~ maiˇ	我得重買	engine-auto	
เลี้ยง	Liang	līang~	養 / 請客	engine-auto	
เลี้ยงหมา	Liang Ma	līang~ māˊ	養狗	engine-auto	
เลี้ยงหมา 5 ตัว	Liang Ma Ha Tua	līang~ māˊ 5 dūa	養五隻狗	engine-auto	
บ้านผมเลี้ยงหมา 5 ตัว	Ban Phom Liang Ma Ha Tua	bhānˋ pomˊ līang~ māˊ 5 dūa	我家養了五隻狗	engine-auto	
ไปกินข้าวกัน ฉันเลี้ยง	Pai Kin Khao Kan Chan Liang	bai gin kāuˋ gan chanˊ līang~	一起去吃飯吧，我請客	engine-auto	
ฉันเลี้ยงข้าวคุณ	Chan Liang Khao Khun	chanˊ līang~ kāuˋ kun	我請你吃飯	engine-auto	
พูดแต่ภาษาไทย	phut tae phasa thai	pūtˋ dɛ̄ˇ pā sāˊ tai	只說泰文	engine-auto	
ฟังแต่เพลงไทย	fang tae phleng thai	fang dɛ̄ˇ plēng tai	只聽泰國歌	book-exact	(book-exact已用引擎重新驗證)
ไปเที่ยวแต่เมืองไทย	pai thiao tae mueang thai	bai tīauˋ dɛ̄ˇ mɯ̄ang tai	只去泰國玩	engine-auto	
ไปแต่เมืองไทย	pai tae mueang thai	bai dɛ̄ˇ mɯ̄ang tai	只去泰國	engine-auto	
กินแต่อาหารไทย	kin tae ahan thai	gin dɛ̄ˇ ā hānˊ tai	只吃泰國菜	engine-auto	
อัลบั้ม	albam	an bhamˋ	專輯	engine-auto	
อัลบั้มชุดไหน	albam chut nai	an bhamˋ chut~ naiˊ	哪一張專輯	book-exact	(book-exact已用引擎重新驗證)
โกหก	kohok	gō hokˇ	說謊	engine-auto	
ไม่ชอบคนโกหก	mai chop khon kohok	maiˋ chɔ̄pˋ kon gō hokˇ	不喜歡說謊的人	engine-auto	
อย่าโกหกฉัน	ya kohok chan	yāˋ gō hokˇ chanˊ	別對我說謊	book-exact	(book-exact已用引擎重新驗證)
ร้องเพลง	rong phleng	rɔ̄ng~ plēng	唱歌	engine-auto	
ร้องคาราโอเกะ	rong kharaoke	rɔ̄ng~ kā rā ō geˇ	唱卡拉OK	engine-auto	
ไปร้องคาราโอเกะกัน	pai rong kharaoke kan	bai rɔ̄ng~ kā rā ō geˇ gan	一起去唱卡拉OK吧	engine-auto	
ไปคาราโอเกะ	pai kharaoke	bai kā rā ō geˇ	去卡拉OK	engine-auto	
ร้องไม่เป็น	rong mai pen	rɔ̄ng~ maiˋ ben	不會唱	engine-auto	
ร้องไห้	rong hai	rɔ̄ng~ haiˋ	哭	engine-auto	
บอก	bok	bhɔ̄kˇ	告訴/說	engine-auto	
พูด	phut	pūtˋ	說	book-exact	(book-exact已用引擎重新驗證)
ใครบอก	khrai bok	krai bhɔ̄kˇ	誰告訴你的	engine-auto	
ไม่บอก	mai bok	maiˋ bhɔ̄kˇ	不告訴你	engine-auto	
อย่าบอกใคร	ya bok khrai	yāˋ bhɔ̄kˇ krai	別告訴別人	engine-auto	
พูดตรงๆ	phut trong trong	pūtˋ drong drong	直說	engine-auto	
บอกตรงๆ	bok trong trong	bhɔ̄kˇ drong drong	直說	engine-auto	
ความจริง	khwam ching	kwām jing	真相	book-exact	(book-exact已用引擎重新驗證)
บอกแล้วไม่ฟัง	bok laeo mai fang	bhɔ̄kˇ lɛ̄u~ maiˋ fang	說了不聽	engine-auto	
เชื่อ	chuea	chɯ̄aˋ	相信	engine-auto	
บอกแล้วไม่เชื่อ	bok laeo mai chuea	bhɔ̄kˇ lɛ̄u~ maiˋ chɯ̄aˋ	說了不相信	engine-auto	
เชื่อฉัน	chuea chan	chɯ̄aˋ chanˊ	相信我	engine-auto	
ฉันไม่โกหกคุณ	chan mai kohok khun	chanˊ maiˋ gō hokˇ kun	我沒對你說謊	engine-auto	
ฉันไม่เชื่อคุณ	chan mai chuea khun	chanˊ maiˋ chɯ̄aˋ kun	我不相信你	engine-auto	
บอกมาเดี๋ยวนี้	bok ma diao ni	bhɔ̄kˇ mā dhīauˊ nī~	現在立刻說	engine-auto	
ฟังเพลงไทย	fang phleng thai	fang plēng tai	聽泰國歌	engine-auto	
ชอบฟังเพลงไทยไหมคะ	chop fang phleng thai mai kha	chɔ̄pˋ fang plēng tai maiˊ ka~	喜歡聽泰國歌嗎？	engine-auto	
ชอบฟังเพลงไทยค่ะ	chop fang phleng thai kha	chɔ̄pˋ fang plēng tai kaˋ	喜歡聽泰國歌	engine-auto	
เพลงจีน	phleng chin	plēng jīn	中文歌	book-exact	(book-exact已用引擎重新驗證)
ฟังเพลงจีน	fang phleng chin	fang plēng jīn	聽中文歌	engine-auto	
ฟังไม่ทัน	fang mai than	fang maiˋ tan	聽不趕/聽不及（來不及聽）	engine-auto	
ไปไม่ทัน	pai mai than	bai maiˋ tan	去不及（來不及去）	engine-auto	
ฟังไม่ชัด	fang mai chat	fang maiˋ chat~	聽不清楚	engine-auto	
ชัด	chat	chat~	清楚	engine-auto	
พูดไม่ชัด	phut mai chat	pūtˋ maiˋ chat~	說不清楚	engine-auto	
ใส่พริก	sai phrik	saiˇ prik~	加辣椒	engine-auto	
ใส่พริกเยอะๆ	sai phrik yo yo	saiˇ prik~ yə~ yə~	加很多辣椒	engine-auto	
พริกไทย	phrik thai	prik~ tai	胡椒	book-exact	(book-exact已用引擎重新驗證)
พริกไทยดำ	phrik thai dam	prik~ tai dham	黑胡椒	engine-auto	
เอาออก	ao ok	au ɔ̄kˇ	拿掉 / 取出	engine-auto	
น้ำพริกเผา	nam phrik phao	nām~ prik~ pāuˊ	辣椒膏	engine-auto	
น้ำมันงา	nam man nga	nām~ man ngā	芝麻油 / 香油	engine-auto	
งาดำ	nga dam	ngā dham	黑芝麻	engine-auto	
งาขาว	nga khao	ngā kāuˊ	白芝麻	engine-auto	
คนไต้หวันชอบกินน้ำมันงา	khon tai wan chop kin nam man nga	kon daiˋ wanˊ chɔ̄pˋ gin nām~ man ngā	台灣人喜歡吃香油	engine-auto	
น้ำมันหอย	nam man hoi	nām~ man hɔ̄iˊ	蠔油	engine-auto	
ซีอิ๊ว	si iu	sī iw~	醬油	engine-auto	
ผัดซีอิ๊ว	phat si iu	patˇ sī iw~	醬油炒（泰式炒河粉）	engine-auto	
กะทิ	kathi	gaˇ ti~	椰奶	engine-auto	
ชอบกินกะทิไหมคะ	chop kin kathi mai kha	chɔ̄pˋ gin gaˇ ti~ maiˊ ka~	喜歡吃椰奶嗎？	engine-auto	
ผักชี	phak chi	pakˇ chī	香菜	engine-auto	
เอาผักชีออก	ao phak chi ok	au pakˇ chī ɔ̄kˇ	把香菜拿掉	engine-auto	
ไม่ใส่ผักชี	mai sai phak chi	maiˋ saiˇ pakˇ chī	不加香菜	engine-auto	
หัวหอม	hua hom	hūaˊ hɔ̄mˊ	洋蔥	engine-auto	
หอมแดง	hom daeng	hɔ̄mˊ dhɛ̄ng	紅蔥頭	engine-auto	
ถั่วงอก	thua ngok	tūaˇ ngɔ̄kˋ	豆芽菜	engine-auto	
กินถั่วงอกไหมคะ	kin thua ngok mai kha	gin tūaˇ ngɔ̄kˋ maiˊ ka~	吃豆芽菜嗎？	engine-auto	
เปิด	poet	bə̄tˇ	開	book-exact	(book-exact已用引擎重新驗證)
ปิด	pit	bitˇ	關	book-exact	(book-exact已用引擎重新驗證)
เปิดไฟ	poet fai	bə̄tˇ fai	開燈	engine-auto	
ปิดไฟ	pit fai	bitˇ fai	關燈	engine-auto	
เปิดร้าน	poet ran	bə̄tˇ rān~	開店	engine-auto	
ปิดร้าน	pit ran	bitˇ rān~	關店	engine-auto	
เปิดเครื่อง	poet khrueang	bə̄tˇ krɯ̄angˋ	開機	engine-auto	
ปิดเครื่อง	pit khrueang	bitˇ krɯ̄angˋ	關機	engine-auto	
เปิดเทอม	poet thoem	bə̄tˇ tə̄m	開學	engine-auto	
เปิดเรียน	poet rian	bə̄tˇ rīan	開學	engine-auto	
เปิดบัญชี	poet banchi	bə̄tˇ bhan chī	開戶	engine-auto	
ใส่	sai	saiˇ	穿 / 戴	engine-auto	
แว่นตา	waen ta	wɛ̄nˋ dā	眼鏡	engine-auto	
ใส่แว่นตา	sai waen ta	saiˇ wɛ̄nˋ dā	戴眼鏡	engine-auto	
ถอดแว่นตา	thot waen ta	tɔ̄tˇ wɛ̄nˋ dā	脫眼鏡	engine-auto	
ถอด	thot	tɔ̄tˇ	脫	engine-auto	
กัน	kan	gan	預防	engine-auto	
แดด	daet	dhɛ̄tˇ	陽光	engine-auto	
แว่นกันแดด	waen kan daet	wɛ̄nˋ gan dhɛ̄tˇ	太陽眼鏡	engine-auto	
แหวน	waen	wɛ̄nˊ	戒指	engine-auto	
ใส่แหวน	sai waen	saiˇ wɛ̄nˊ	戴戒指	engine-auto	
ถอดแหวน	thot waen	tɔ̄tˇ wɛ̄nˊ	脫戒指	engine-auto	
เปลี่ยน	plian	blīanˇ	變 / 換 / 改	engine-auto	
เปลี่ยนเวลา	plian wela	blīanˇ wē lā	改時間	engine-auto	
เปลี่ยนกางเกง	plian kangkeng	blīanˇ gāng gēng	換褲子	engine-auto	
กระโปรง	krapong	graˇ brōng	裙子	engine-auto	
ชอบใส่กระโปรงไหม	chop sai krapong mai	chɔ̄pˋ saiˇ graˇ brōng maiˊ	喜歡穿裙子嗎？	engine-auto	
รองเท้า	rong thao	rɔ̄ng tāu~	鞋子	engine-auto	
เปลี่ยนรองเท้า	plian rong thao	blīanˇ rɔ̄ng tāu~	換鞋子	engine-auto	
หน้ากาก	nakak	nāˋ gākˇ	面具	engine-auto	
ใส่แมส	sai maet	saiˇ mɛ̄tˋ	戴口罩（口語）	engine-auto	
ใส่หน้ากาก	sai nakak	saiˇ nāˋ gākˇ	戴面具 / 戴口罩	engine-auto	
ถุงยาง	thung yang	tungˊ yāng	保險套（口語）	engine-auto	
ยาง	yang	yāng	塑膠 / 橡膠	engine-auto	
อาจจะ	at cha	ātˇ jaˇ	也許 / 可能	engine-auto	
ยัง	yang	yang	還（沒）	engine-auto	
อาจจะยัง	at cha yang	ātˇ jaˇ yang	可能不是喔 / 可能還沒	engine-auto	
อาทิตย์หน้าเจอกัน	athit na choe kan	ā tit~ nāˋ jə̄ gan	下個禮拜見	engine-auto	
วันนี้ขอบคุณมาก	wan ni khop khun mak	wan nī~ kɔ̄pˇ kun mākˋ	今天非常感謝	engine-auto	
สองทุ่มครึ่ง	Song thum khrueng	sɔ̄ngˊ tumˋ krɯngˋ	晚上八點半	engine-auto	
เอาแต่นอน	Ao tae non	au dɛ̄ˇ nɔ̄n	只顧著睡覺	engine-auto	
กินแต่ขนม	Kin tae khanom	gin dɛ̄ˇ kaˇ nom	只吃點心（零食）	engine-auto	
ไปแต่เมืองไทย	Pai tae mueang thai	bai dɛ̄ˇ mɯ̄ang tai	只去泰國	engine-auto	
ร้อง	Rong	rɔ̄ng~	唱	book-exact	(book-exact已用引擎重新驗證)
ร้องเพลง	Rong pheng	rɔ̄ng~ plēng	唱歌	engine-auto	
ร้องเพลงเป็นไหม	Rong pheng pen mai	rɔ̄ng~ plēng ben maiˊ	你會唱歌嗎？	engine-auto	
ร้องคาราโอเกะ	Rong kharaoke	rɔ̄ng~ kā rā ō geˇ	唱卡拉OK	engine-auto	
ร้องไห้	Rong hai	rɔ̄ng~ haiˋ	哭	engine-auto	
อย่าร้องไห้	Ya rong hai	yāˋ rɔ̄ng~ haiˋ	別哭	engine-auto	
ร้องไห้ไม่หยุด	Rong hai mai yut	rɔ̄ng~ haiˋ maiˋ yutˇ	哭個不停	engine-auto	
ทำไมร้องไห้	Thammai rong hai	tam mai rɔ̄ng~ haiˋ	你為什麼哭？	engine-auto	
เพลง	Pheng	plēng	歌曲	engine-auto	
เพลงไทย	Pheng thai	plēng tai	泰文歌	engine-auto	
เพลงจีน	Pheng chin	plēng jīn	中文歌	book-exact	(book-exact已用引擎重新驗證)
เพลงญี่ปุ่น	Pheng yipun	plēng yīˋ bunˇ	日文歌	engine-auto	
อัลบั้ม	Album	an bhamˋ	專輯	engine-auto	
เพลงนี้อยู่อัลบั้มชุดไหน	Pheng ni yu album chut nai	plēng nī~ yūˋ an bhamˋ chut~ naiˊ	這首歌在哪一張專輯？	engine-auto	
อัลบั้มชุดนี้มีสิบเพลง	Album chut ni mi sip pheng	an bhamˋ chut~ nī~ mī sipˇ plēng	這張專輯有十首歌	engine-auto	
บอก	bok	bhɔ̄kˇ	告訴、說	engine-auto	
ใครบอกคุณ	krai bok kun	krai bhɔ̄kˇ kun	誰告訴你	engine-auto	
เขาบอกฉัน	kao bok chan	kāuˊ bhɔ̄kˇ chanˊ	他告訴我	engine-auto	
เรื่องนี้อย่าบอกคนอื่นนะ	rueang ni ya bok kon uen na	rɯ̄angˋ nī~ yāˋ bhɔ̄kˇ kon ɯ̄nˇ na~	這件事別告訴其他人喔	engine-auto	
โกหก	go hok	gō hokˇ	說謊	engine-auto	
ไม่ชอบคนโกหก	mai chob kon go hok	maiˋ chɔ̄pˋ kon gō hokˇ	不喜歡說謊的人	engine-auto	
เขาโกหกบ่อยๆ	kao go hok boi boi	kāuˊ gō hokˇ bhɔ̄iˇ bhɔ̄iˇ	他常常說謊	engine-auto	
คุณโกหก ฉันไม่เชื่อคุณ	kun go hok chan mai cheua kun	kun gō hokˇ chanˊ maiˋ chɯ̄aˋ kun	你說謊，我不相信你	engine-auto	
ชัด	chat	chat~	清楚	engine-auto	
ฟังไม่ชัด	fang mai chat	fang maiˋ chat~	聽不清楚	engine-auto	
พูดไม่ชัด	poot mai chat	pūtˋ maiˋ chat~	說不清楚	engine-auto	
เสียงไม่ชัด	siang mai chat	sīangˊ maiˋ chat~	聲音不清楚	engine-auto	
ออกเสียง	awk siang	ɔ̄kˇ sīangˊ	發音	engine-auto	
ออกเสียงไม่ชัด	awk siang mai chat	ɔ̄kˇ sīangˊ maiˋ chat~	發音不清楚	engine-auto	
ออกเสียงชัด	awk siang chat	ɔ̄kˇ sīangˊ chat~	發音清楚	engine-auto	
TV ไม่ชัด	tee wee mai chat	TV maiˋ chat~	電視畫面不清楚	engine-auto	
เปิด	perd	bə̄tˇ	開	book-exact	(book-exact已用引擎重新驗證)
พรุ่งนี้ร้านจะเปิดไหม	prung ni ran ja perd mai	prungˋ nī~ rān~ jaˇ bə̄tˇ maiˊ	明天店會開嗎	engine-auto	
พรุ่งนี้ร้านเปิดค่ะ	prung ni ran perd ka	prungˋ nī~ rān~ bə̄tˇ kaˋ	明天店會開	engine-auto	
ขอโทษค่ะ ห้างเปิดกี่โมงคะ	kor tot ka hang perd gi mong ka	kɔ̄ˊ tōtˋ kaˋ hāngˋ bə̄tˇ gīˇ mōng ka~	對不起，百貨公司幾點開	engine-auto	
เปิด 10 โมงครึ่งค่ะ	perd sip mong krueng ka	bə̄tˇ 10 mōng krɯngˋ kaˋ	10點半開	engine-auto	
เปิด 11 โมงค่ะ	perd sip et mong ka	bə̄tˇ 11 mōng kaˋ	11點開	engine-auto	
ปิด	pit	bitˇ	關	book-exact	(book-exact已用引擎重新驗證)
จะปิดเทอมเมื่อไหร่	ja pit term muea rai	jaˇ bitˇ tə̄m mɯ̄aˋ raiˇ	什麼時候要放假（學期結束）	engine-auto	
ร้านปิดกี่โมงคะ	ran pit gi mong ka	rān~ bitˇ gīˇ mōng ka~	店幾點關	engine-auto	
ร้านปิด 1 ทุ่มค่ะ	ran pit nueng tum ka	rān~ bitˇ 1 tumˋ kaˋ	店晚上7點關	engine-auto	
เวลาเครื่องขึ้นต้องปิดเครื่อง	we la krueang kuen tong pit krueang	wē lā krɯ̄angˋ kɯnˋ dɔ̄ngˋ bitˇ krɯ̄angˋ	起飛的時候得關機	engine-auto	
เปิดบัญชี	perd ban chi	bə̄tˇ bhan chī	開戶	engine-auto	
ปิดบัญชี	pit ban chi	bitˇ bhan chī	結清帳戶	engine-auto	
บัญชี	ban chi	bhan chī	帳戶	engine-auto	
มาทำอะไรคะ	ma tam a rai ka	mā tam aˇ rai ka~	來做什麼呢	engine-auto	
ผมมาเปิดบัญชี	pom ma perd ban chi	pomˊ mā bə̄tˇ bhan chī	我來開戶（男）	engine-auto	
ฉันมาเปิดบัญชี	chan ma perd ban chi	chanˊ mā bə̄tˇ bhan chī	我來開戶（女）	engine-auto	
ขอเบอร์บัญชีหน่อยค่ะ	kor ber ban chi noi ka	kɔ̄ˊ bhə̄ bhan chī nɔ̄iˇ kaˋ	請給我帳戶號碼	engine-auto	
เปลี่ยน	plian	blīanˇ	換、變、改	engine-auto	
ขอเปลี่ยนเวลาได้ไหมคะ	kor plian wela dai mai ka	kɔ̄ˊ blīanˇ wē lā dhaiˋ maiˊ ka~	可以換時間嗎	engine-auto	
ขอเปลี่ยนจานได้ไหมคะ	kor plian jan dai mai ka	kɔ̄ˊ blīanˇ jān dhaiˋ maiˊ ka~	可以換盤子嗎	engine-auto	
จานไม่สะอาด	jan mai saat	jān maiˋ saˇ ātˇ	盤子不乾淨	engine-auto	
ขอเปลี่ยนห้องได้ไหมคะ	kor plian hong dai mai ka	kɔ̄ˊ blīanˇ hɔ̄ngˋ dhaiˋ maiˊ ka~	可以換房間嗎	engine-auto	
ใส่	sai	saiˇ	加、穿、戴、放入	engine-auto	
ใสน้ำแข็ง	sai namkaeng	saiˊ nām~ kɛngˊ	加冰塊	engine-auto	
ใส่ถุง	sai thung	saiˇ tungˊ	裝袋	engine-auto	
