課次	泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
初 4-1	จะเรียนทำอาหาร	ja rian tham ahan	jaˇ rīan tam ā hānˊ	正要學做菜	engine-auto	
初 4-1	ไปทำงานแล้ว	pai tham ngan laew	bai tam ngān lɛ̄u~	去工作了	engine-auto	
初 4-1	กำลังทำงานอยู่	gamlung tham ngan yu	gam lang tam ngān yūˋ	正在工作	engine-auto	
初 4-1	จะทำงานที่เมืองไทย	ja tham ngan thee muang thai	jaˇ tam ngān tīˋ mɯ̄ang tai	將要在泰國工作	engine-auto	
初 4-1	ทำดีได้ดี ทำชั่วได้ชั่ว	tham dee dai dee tham chua dai chua	tam dhī dhaiˋ dhī tam chūaˋ dhaiˋ chūaˋ	善有善報，惡有惡報	engine-auto	
初 4-1	คนดี	khon dee	kon dhī	好人	engine-auto	
初 4-1	คนชั่ว	khon chua	kon chūaˋ	壞人	engine-auto	
初 4-1	ทำผม	tham phom	tam pomˊ	做頭髮	engine-auto	
初 4-1	ทำหน้าอก	tham na ok	tam nāˋ okˇ	做胸部	derived	
初 4-1	ทำเล็บ	tham lep	tam lep~	做指甲	engine-auto	
初 4-1	ทำตาสองชั้น	tham ta song chan	tam dā sɔ̄ngˊ chan~	做雙眼皮	engine-auto	
初 4-1	ทำนา	tham na	tam nā	種田	engine-auto	
初 4-1	ทำสวน	tham suan	tam sūanˊ	做園藝	engine-auto	
初 4-1	ทำโอที	tham o thee	tam ō tī	加班	engine-auto	
初 4-1	บางครั้งต้องทำโอทีไหม	bang khrang tong tham o thee mai	bhāng krang~ dɔ̄ngˋ tam ō tī maiˊ	有時候要加班嗎？	engine-auto	
初 4-1	ทำธุระ	tham thura	tam tu~ ra~	辦事	engine-auto	
初 4-1	มีธุระอะไรไหม	mee thura arai mai	mī tu~ ra~ aˇ rai maiˊ	有什麼事嗎？	engine-auto	
初 4-1	ทำธุรกิจ	tham thurakit	tam tun gitˇ	做生意	engine-auto	
初 4-1	ชั้นธุรกิจ	chan thurakit	chan~ tun gitˇ	商務艙	engine-auto	
初 4-1	ทำตามสัญญา	tham tam sanya	tam dām sanˊ yā	履行合約	engine-auto	
初 4-1	เดินตามฉันมา	dern tam chan ma	dhə̄n dām chanˊ mā	跟著我來	engine-auto	
初 4-1	พูดตามครู	phut tam khru	pūtˋ dām krū	跟著老師說	engine-auto	
初 4-1	เซ็นสัญญา	sen sanya	sen sanˊ yā	簽約	engine-auto	
初 4-1	ทำบุญ	tham bun	tam bhun	做功德	engine-auto	
初 4-1	มีบุญ	mee bun	mī bhun	有福報	engine-auto	
初 4-1	ทำหาย	tham hai	tam hāiˊ	弄丟	engine-auto	
初 4-1	ทำพาสปอร์ตหาย	tham passport hai	tam pā saˇ bɔ̄tˇ hāiˊ	弄丟護照	derived	
初 4-1	หายไปแล้ว	hai pai laew	hāiˊ bai lɛ̄u~	不見了	engine-auto	
初 4-1	ทำเป็นไม่รู้	tham pen mai ru	tam ben maiˋ rū~	裝作不知道	engine-auto	
初 4-1	ทำเป็นเข้าใจ	tham pen khao jai	tam ben kāuˋ jai	裝作懂了	engine-auto	
初 4-1	ทำเป็นเก่ง	tham pen geng	tam ben gēngˇ	裝厲害	engine-auto	
初 4-1	ทำใจไม่ได้	tham jai mai dai	tam jai maiˋ dhaiˋ	無法接受	engine-auto	
初 4-1	ทำความสะอาด	tham khwam sa at	tam kwām saˇ ātˇ	打掃	engine-auto	
初 4-1	ทำสกปรก	tham sokkaprok	tam sokˇ brokˇ	弄髒	derived	
初 4-1	เงินสกปรก	ngoen sokkaprok	ngə̄n sokˇ brokˇ	髒錢	derived	
初 4-1	เรียนจบหรือยัง	rian jop rue yang	rīan jopˇ rɯ̄ˊ yang	畢業了沒？	derived	
初 4-1	พูดจบหรือยัง	phut jop rue yang	pūtˋ jopˇ rɯ̄ˊ yang	說完了沒？	derived	
初 4-1	พูดภาษาไทยเป็นแล้ว	phut phasa thai pen laew	pūtˋ pā sāˊ tai ben lɛ̄u~	會說泰文了	engine-auto	
初 4-1	พูดเล่น	phut len	pūtˋ lēnˋ	開玩笑	engine-auto	
初 4-1	พูดถึง	phut thueng	pūtˋ tɯngˊ	提到	engine-auto	
初 4-1	พูดถึงเขา เขาก็มา	phut thueng khao khao kor ma	pūtˋ tɯngˊ kāuˊ kāuˊ gɔ̄ˋ mā	提到他，他就來了	engine-auto	
初 4-1	พูดถึงอะไร	phut thueng arai	pūtˋ tɯngˊ aˇ rai	提到什麼	engine-auto	
初 4-1	พูดถึงละครไทย	phut thueng lakhon thai	pūtˋ tɯngˊ la~ kɔ̄n tai	提到泰劇	derived	
初 4-1	พูดผิด	phut phit	pūtˋ pitˇ	說錯了	engine-auto	
初 4-1	ขอโทษค่ะ ฉันพูดผิด	khor thot kha chan phut phit	kɔ̄ˊ tōtˋ kaˋ chanˊ pūtˋ pitˇ	對不起，我說錯了	engine-auto	
初 4-1	พูดผิด พูดใหม่	phut phit phut mai	pūtˋ pitˇ pūtˋ maiˇ	說錯了，重新說	engine-auto	
初 4-1	ทำผิด	tham phit	tam pitˇ	做錯了	engine-auto	
初 4-1	ทำใหม่	tham mai	tam maiˇ	重新做	engine-auto	
初 4-1	พูดอีกที	phut eek thee	pūtˋ īkˇ tī	再說一遍	engine-auto	
初 4-1	พูดอีกครั้ง	phut eek khrang	pūtˋ īkˇ krang~	再說一次	engine-auto	
初 4-1	พูดแล้ว ไม่ฟัง	phut laew mai fang	pūtˋ lɛ̄u~ maiˋ fang	說了不聽	engine-auto	
初 4-1	เลี้ยง	Liang	līang~	養 / 請客	engine-auto	
初 4-1	เลี้ยงหมา	Liang ma	līang~ māˊ	養狗	engine-auto	
初 4-1	เลี้ยงปลา	Liang pla	līang~ blā	養魚	engine-auto	
初 4-1	เลี้ยงอะไร	Liang arai	līang~ aˇ rai	養什麼？	engine-auto	
初 4-1	ฉันไม่เลี้ยงอะไร	Chan mai liang arai	chanˊ maiˋ līang~ aˇ rai	我沒養什麼	engine-auto	
初 4-1	เลี้ยงลูก	Liang luk	līang~ lūkˋ	養小孩	engine-auto	
初 4-1	เลี้ยงข้าว	Liang khao	līang~ kāuˋ	請吃飯	engine-auto	
初 4-1	เลี้ยงเบียร์	Liang bia	līang~ bhīa	請喝啤酒	engine-auto	
初 4-1	เลี้ยงน้ำ	Liang nam	līang~ nām~	請喝水 / 飲料	engine-auto	
初 4-1	เลี้ยงเมีย	Liang mia	līang~ mīa	養老婆	engine-auto	
初 4-1	เลี้ยงแขก	Liang khaek	līang~ kɛ̄kˇ	招待客人	engine-auto	
初 4-1	แขก	Khaek	kɛ̄kˇ	客人	engine-auto	
初 4-1	วันนี้มีแขกมาบ้าน	Wanni mi khaek ma ban	wan nī~ mī kɛ̄kˇ mā bhānˋ	今天有客人來我家	engine-auto	
初 4-1	กินเลี้ยง	Kin liang	gin līang~	聚餐 / 宴席	engine-auto	
初 4-1	วันนี้ต้องไปกินเลี้ยง	Wanni tong pai kin liang	wan nī~ dɔ̄ngˋ bai gin līang~	今天要去吃聚餐	engine-auto	
初 4-1	กินเลี้ยงบริษัท	Kin liang borisat	gin līang~ bhɔ̄ ri~ satˇ	公司聚餐（如尾牙）	derived	
初 4-1	ขอบคุณค่ะ	Khop khun kha	kɔ̄pˇ kun kaˋ	謝謝	engine-auto	
初 4-2	ครั้งที่สอง	khrang thi song	krang~ tīˋ sɔ̄ngˊ	第二次	engine-auto	
初 4-2	อย่า	ya	yāˋ	別、不要	book-exact	(book-exact已用引擎重新驗證)
初 4-2	เรื่องนี้อย่าพูดดีกว่า	rueang ni ya phut di kwa	rɯ̄angˋ nī~ yāˋ pūtˋ dhī gwāˇ	這件事別說比較好	engine-auto	
初 4-2	อย่าไปคนเดียวดีกว่า	ya pai khon diao di kwa	yāˋ bai kon dhīau dhī gwāˇ	別一個人去比較好	engine-auto	
初 4-2	อย่างไร	yang rai	yāngˋ rai	如何	engine-auto	
初 4-2	ยังไง	yang ngai	yang ngai	如何（口語）	engine-auto	
初 4-2	เดินไปอย่างไร	doen pai yang rai	dhə̄n bai yāngˋ rai	怎麼走去	engine-auto	
初 4-2	สถานีรถไฟฟ้าไปยังไง	sathani rot fai fa pai yang ngai	saˇ tāˊ nī rot~ fai fā~ bai yang ngai	捷運站怎麼走去	engine-auto	
初 4-2	ขายอย่างไร	khai yang rai	kāiˊ yāngˋ rai	怎麼賣（標準）	engine-auto	
初 4-2	ขายยังไง	khai yang ngai	kāiˊ yang ngai	怎麼賣（口語）	engine-auto	
初 4-2	มังคุดขายยังไงคะ	mangkhut khai yang ngai kha	mang kut~ kāiˊ yang ngai ka~	山竹怎麼賣呢	engine-auto	
初 4-2	ทำอย่างไรดี	tham yang rai di	tam yāngˋ rai dhī	該如何做才好	engine-auto	
初 4-2	ทำยังไงดี	tham yang ngai di	tam yang ngai dhī	該怎麼辦才好（口語）	engine-auto	
初 4-2	กินยังไงดี	kin yang ngai di	gin yang ngai dhī	該怎麼吃才好	engine-auto	
初 4-2	พูดอย่างไรดี	phut yang rai di	pūtˋ yāngˋ rai dhī	該怎麼說才好	engine-auto	
初 4-2	เขียนยังไงดี	khian yang ngai di	kīanˊ yang ngai dhī	該怎麼寫才好	engine-auto	
初 4-2	ข้างนอกฝนตกหนัก ทำยังไงดี	khang nok fon tok nak tham yang ngai di	kāngˋ nɔ̄kˋ fonˊ dokˇ nakˇ tam yang ngai dhī	外面下大雨該怎麼辦	derived	
初 4-2	กระเป๋าเงินหาย ทำยังไงดี	krapao ngoen hai tham yang ngai di	graˇ bāuˊ ngə̄n hāiˊ tam yang ngai dhī	錢包不見了該怎麼辦	engine-auto	
初 4-2	จะ	cha	jaˇ	將、要	engine-auto	
初 4-2	จะกินอะไร	cha kin arai	jaˇ gin aˇ rai	要吃什麼	engine-auto	
初 4-2	เย็นนี้จะกินอะไร	yen ni cha kin arai	yen nī~ jaˇ gin aˇ rai	今晚（傍晚）要吃什麼	engine-auto	
初 4-2	คืนนี้จะกินอะไร	khuen ni cha kin arai	kɯ̄n nī~ jaˇ gin aˇ rai	今晚（深夜）要吃什麼	engine-auto	
初 4-2	จะทำอะไร	cha tham arai	jaˇ tam aˇ rai	將要做什麼	engine-auto	
初 4-2	พรุ่งนี้จะทำอะไร	phrung ni cha tham arai	prungˋ nī~ jaˇ tam aˇ rai	明天要做什麼	engine-auto	
初 4-2	จะไปไหน	cha pai nai	jaˇ bai naiˊ	要去哪裡	engine-auto	
初 4-2	เสาร์อาทิตย์จะไปไหน	sao athit cha pai nai	sāuˊ ā tit~ jaˇ bai naiˊ	週末要去哪裡	engine-auto	
初 4-2	เสาร์อาทิตย์จะไปดูหนัง	sao athit cha pai du nang	sāuˊ ā tit~ jaˇ bai dhū nangˊ	週末要去看電影	engine-auto	
初 4-2	หรือยัง	rue yang	rɯ̄ˊ yang	了沒	engine-auto	
初 4-2	นอนหรือยัง	non rue yang	nɔ̄n rɯ̄ˊ yang	睡了沒	engine-auto	
初 4-2	ยังไม่นอน	yang mai non	yang maiˋ nɔ̄n	還沒睡	engine-auto	
初 4-2	นอนแล้ว	non laeo	nɔ̄n lɛ̄u~	睡了	engine-auto	
初 4-2	ฝนหยุดหรือยัง	fon yut rue yang	fonˊ yutˇ rɯ̄ˊ yang	雨停了沒	derived	
初 4-2	เรียนจบหรือยัง	rian chop rue yang	rīan jopˇ rɯ̄ˊ yang	畢業了沒	derived	
初 4-2	มีแฟนหรือยัง	mi faen rue yang	mī fɛ̄n rɯ̄ˊ yang	有對象了沒	engine-auto	
初 4-2	ยังไม่มี	yang mai mi	yang maiˋ mī	還沒有	engine-auto	
初 4-2	แต่งงานหรือยัง	taeng ngan rue yang	dɛ̄ngˇ ngān rɯ̄ˊ yang	結婚了沒	engine-auto	
初 4-2	จองตั๋วหรือยัง	chong tua rue yang	jɔ̄ng dūaˊ rɯ̄ˊ yang	訂票了沒	engine-auto	
初 4-2	ฟังเข้าใจหรือยัง	fang khao chai rue yang	fang kāuˋ jai rɯ̄ˊ yang	聽懂了沒	engine-auto	
初 4-2	ถึงบ้านหรือยัง	thueng ban rue yang	tɯngˊ bhānˋ rɯ̄ˊ yang	到家了沒	engine-auto	
初 4-2	เสร็จหรือยัง	set rue yang	sretˇ rɯ̄ˊ yang	完了沒	engine-auto	
初 4-2	ทำความสะอาดเสร็จหรือยัง	tham khwam sa at set rue yang	tam kwām saˇ ātˇ sretˇ rɯ̄ˊ yang	打掃完了沒	engine-auto	
初 4-2	คุณทำอาหารเสร็จหรือยัง	khun tham a han set rue yang	kun tam ā hānˊ sretˇ rɯ̄ˊ yang	你煮飯完了沒	engine-auto	
初 4-2	คุณทำงานเสร็จหรือยัง	khun tham ngan set rue yang	kun tam ngān sretˇ rɯ̄ˊ yang	你工作完了沒	engine-auto	
初 4-2	ยังไม่เสร็จ	yang mai set	yang maiˋ sretˇ	還沒完	engine-auto	
初 4-2	ลูกคุณเรียนจบหรือยัง	luk khun rian chop rue yang	lūkˋ kun rīan jopˇ rɯ̄ˊ yang	你的孩子畢業了沒	derived	
初 4-2	พูดจบหรือยัง	phut chop rue yang	pūtˋ jopˇ rɯ̄ˊ yang	說完了沒	derived	
初 4-2	คุณพูดจบหรือยัง	khun phut chop rue yang	kun pūtˋ jopˇ rɯ̄ˊ yang	你說完了沒	derived	
初 4-2	ละครจบแล้ว	lakhon chop laeo	la~ kɔ̄n jopˇ lɛ̄u~	連續劇結束了	derived	
初 4-2	ยังไม่	yang mai	yang maiˋ	還沒	book-exact	(book-exact已用引擎重新驗證)
初 4-2	สิบโมงแล้ว ทำไมยังไม่ไปทำงาน	sip mong laeo tham mai yang mai pai tham ngan	sipˇ mōng lɛ̄u~ tam mai yang maiˋ bai tam ngān	十點了為什麼還不去上班	engine-auto	
初 4-2	เที่ยงคืนแล้ว ทำไมยังไม่นอน	thiang khuen laeo tham mai yang mai non	tīangˋ kɯ̄n lɛ̄u~ tam mai yang maiˋ nɔ̄n	半夜了為什麼還不睡覺	engine-auto	
初 4-2	กำลัง อยู่	kam lang yu	gam lang yūˋ	正在	engine-auto	
初 4-2	กำลังทำงานอยู่	kam lang tham ngan yu	gam lang tam ngān yūˋ	正在工作	engine-auto	
初 4-2	พ่อกำลังทำงานอยู่	pho kam lang tham ngan yu	pɔ̄ˋ gam lang tam ngān yūˋ	爸爸正在工作	engine-auto	
初 4-2	แม่กำลังทำอาหารอยู่	mae kam lang tham a han yu	mɛ̄ˋ gam lang tam ā hānˊ yūˋ	媽媽正在煮飯	engine-auto	
初 4-2	น้องสาวกำลังอ่านหนังสืออยู่	nong sao kam lang an nang sue yu	nɔ̄ng~ sāuˊ gam lang ānˇ nangˊ sɯ̄ˊ yūˋ	妹妹正在看書	engine-auto	
初 4-2	เดินเล่น	doen len	dhə̄n lēnˋ	散步	engine-auto	
初 4-2	พี่สาวกำลังเดินเล่นอยู่	phi sao kam lang doen len yu	pīˋ sāuˊ gam lang dhə̄n lēnˋ yūˋ	姊姊正在散步	engine-auto	
初 4-2	กำลังจะ	kam lang cha	gam lang jaˇ	正要	engine-auto	
初 4-2	แฟนกำลังจะไปว่ายน้ำ	faen kam lang cha pai wai nam	fɛ̄n gam lang jaˇ bai wāiˋ nām~	另一半正要去游泳	engine-auto	
初 4-2	แม่กำลังจะออกไปข้างนอก	mae kam lang cha ok pai khang nok	mɛ̄ˋ gam lang jaˇ ɔ̄kˇ bai kāngˋ nɔ̄kˋ	媽媽正要出去外面	engine-auto	
初 4-2	แม่กำลังจะออกไปข้างนอกซื้อผลไม้	mae kam lang cha ok pai khang nok bue phon la mai	mɛ̄ˋ gam lang jaˇ ɔ̄kˇ bai kāngˋ nɔ̄kˋ sɯ̄~ ponˊ mai~	媽媽正要出去外面買水果	derived	
初 4-2	ทำ	Tham	tam	做	engine-auto	
初 4-2	ทำนา	Tham Na	tam nā	種田	engine-auto	
初 4-2	คนอีสานส่วนใหญ่ทำนาปลูกข้าว	Khon Isan Suan Yai Tham Na Pluk Khao	kon ī sānˊ sūanˇ yaiˇ tam nā blūkˇ kāuˋ	東北部的人大部分種田、種稻	engine-auto	
初 4-2	คืนนี้ต้องทำ OT	Khuen Ni Tong Tham OT	kɯ̄n nī~ dɔ̄ngˋ tam OT	今晚得加班	engine-auto	
初 4-2	ทุกวันต้องทำ OT	Thuk Wan Tong Tham OT	tuk~ wan dɔ̄ngˋ tam OT	每天都得加班	engine-auto	
初 4-2	ทำธุระ	Tham Thura	tam tu~ ra~	辦事	engine-auto	
初 4-2	ไปทำธุระ	Pai Tham Thura	bai tam tu~ ra~	去辦事	engine-auto	
初 4-2	จะไปทำธุระ	Cha Pai Tham Thura	jaˇ bai tam tu~ ra~	將要去辦事	engine-auto	
初 4-2	กำลังจะไปทำธุระ	Kam Lang Cha Pai Tham Thura	gam lang jaˇ bai tam tu~ ra~	正要去辦事	engine-auto	
初 4-2	ธุรกิจ	Thura Kit	tun gitˇ	商業 / 生意	book-exact	(book-exact已用引擎重新驗證)
初 4-2	คุณทำธุรกิจอะไร	Khun Tham Thura Kit A Rai	kun tam tun gitˇ aˇ rai	你做什麼生意？	engine-auto	
初 4-2	นักธุรกิจ	Nak Thura Kit	nak~ tun gitˇ	商人 / 生意人	engine-auto	
初 4-2	นักเรียน	Nak Rian	nak~ rīan	學生	engine-auto	
初 4-2	นักร้อง	Nak Rong	nak~ rɔ̄ng~	歌手	engine-auto	
初 4-2	เขาเป็นนักธุรกิจ	Khao Pen Nak Thura Kit	kāuˊ ben nak~ tun gitˇ	他是商人	engine-auto	
初 4-2	ชั้นธุรกิจ	Chan Thura Kit	chan~ tun gitˇ	商務艙	engine-auto	
初 4-2	ทำสัญญา	Tham Sanya	tam sanˊ yā	簽合約 / 簽契約	engine-auto	
初 4-2	ทำสัญญาเช่าห้อง	Tham Sanya Chao Hong	tam sanˊ yā chāuˋ hɔ̄ngˋ	租房間簽約	engine-auto	
初 4-2	ทำสัญญาซื้อบ้าน	Tham Sanya Sue Ban	tam sanˊ yā sɯ̄~ bhānˋ	買房子簽約	engine-auto	
初 4-2	เซ็นสัญญา	Sen Sanya	sen sanˊ yā	簽合約	engine-auto	
初 4-2	เซ็นชื่อ	Sen Chue	sen chɯ̄ˋ	簽名字	engine-auto	
初 4-2	เซ็นสัญญาซื้อบ้าน	Sen Sanya Sue Ban	sen sanˊ yā sɯ̄~ bhānˋ	簽約買房	engine-auto	
初 4-2	ทำบุญ	Tham Bun	tam bhun	做功德	engine-auto	
初 4-2	ชอบทำบุญ	Chop Tham Bun	chɔ̄pˋ tam bhun	喜歡做功德	engine-auto	
初 4-2	ผู้ใหญ่	Phu Yai	pūˋ yaiˇ	長輩 / 成年人	engine-auto	
初 4-2	ผู้ใหญ่ชอบทำบุญ	Phu Yai Chop Tham Bun	pūˋ yaiˇ chɔ̄pˋ tam bhun	長輩喜歡做功德	engine-auto	
初 4-2	ไปทำบุญกัน	Pai Tham Bun Kan	bai tam bhun gan	一起去做功德	engine-auto	
初 4-2	พวกเราไปทำบุญกัน	Phuak Rao Pai Tham Bun Kan	pūakˋ rāu bai tam bhun gan	我們一起去做功德	engine-auto	
初 4-2	ชาติหน้า	Chat Na	chātˋ nāˋ	下輩子	derived	
初 4-2	ชาติหน้าเจอกันอีก	Chat Na Choe Kan Ik	chātˋ nāˋ jə̄ gan īkˇ	下輩子再見	derived	
初 4-2	ทำหาย	Tham Hai	tam hāiˊ	弄丟	engine-auto	
初 4-2	หาย	Hai	hāiˊ	消失 / 不見	engine-auto	
初 4-2	ทำกระเป๋าเงินหาย	Tham Krapao Ngoen Hai	tam graˇ bāuˊ ngə̄n hāiˊ	弄丟錢包	engine-auto	
初 4-2	คุณทำกระเป๋าเงินหายที่ไหน	Khun Tham Krapao Ngoen Hai Thi Nai	kun tam graˇ bāuˊ ngə̄n hāiˊ tīˋ naiˊ	你在哪裡弄丟錢包？	engine-auto	
初 4-2	ฉันไม่รู้ทำกระเป๋าเงินหายที่ไหน	Chan Mai Ru Tham Krapao Ngoen Hai Thi Nai	chanˊ maiˋ rū~ tam graˇ bāuˊ ngə̄n hāiˊ tīˋ naiˊ	我不知道在哪裡弄丟錢包	engine-auto	
初 4-2	มือถือหาย	Mue Thue Hai	mɯ̄ tɯ̄ˊ hāiˊ	手機不見了	engine-auto	
初 4-2	ปากกา iPad หาย	Pakka iPad Hai	bākˇ gā iPad hāiˊ	iPad 筆不見了	engine-auto	
初 4-2	หูฟังหาย	Hu Fang Hai	hūˊ fang hāiˊ	耳機不見了	engine-auto	
初 4-2	พาสปอร์ตหาย	Passport Hai	pā saˇ bɔ̄tˇ hāiˊ	護照不見了	derived	
初 4-2	กระเป๋าเงินหาย	Krapao Ngoen Hai	graˇ bāuˊ ngə̄n hāiˊ	錢包不見了	engine-auto	
初 4-2	คีย์การ์ดหาย	Key Card Hai	kī gātˇ hāiˊ	房卡不見了	engine-auto	
初 4-2	หายหิว	Hai Hiu	hāiˊ hiwˊ	肚子餓的感覺消失了	engine-auto	
初 4-2	หายเหนื่อย	Hai Nueai	hāiˊ nɯ̄aiˇ	累的感覺消失了	engine-auto	
初 4-2	หายคิดถึง	Hai Khit Thueng	hāiˊ kit~ tɯngˊ	思念的感覺緩解了	engine-auto	
初 4-2	หายเหงา	Hai Ngao	hāiˊ ngāuˊ	寂寞的感覺消失了	engine-auto	
初 4-2	หายเมื่อย	Hai Mueai	hāiˊ mɯ̄aiˋ	酸痛的感覺消失了	engine-auto	
初 4-2	หายปวด หายเจ็บ	Hai Puat Hai Chep	hāiˊ būatˇ hāiˊ jepˇ	疼痛的感覺消失了	engine-auto	
初 4-2	ทำเป็น	Tham Pen	tam ben	裝作 / 假裝	engine-auto	
初 4-2	ทำเป็นเก่ง	Tham Pen Keng	tam ben gēngˇ	裝厲害	engine-auto	
初 4-2	ทำเป็นไม่เข้าใจ	Tham Pen Mai Khao Chai	tam ben maiˋ kāuˋ jai	裝不懂	engine-auto	
初 4-2	ทำเป็นไม่รู้เรื่อง	Tham Pen Mai Ru Rueang	tam ben maiˋ rū~ rɯ̄angˋ	裝作不知道（這些事）	engine-auto	
初 4-2	ทำเป็นไม่มีเงิน	Tham Pen Mai Mi Ngoen	tam ben maiˋ mī ngə̄n	裝沒錢	engine-auto	
初 4-2	ทำเป็นไม่รักเขา	Tham Pen Mai Rak Khao	tam ben maiˋ rak~ kāuˊ	裝不愛他	engine-auto	
初 4-2	ทำเป็นใจร้าย	Tham Pen Chai Rai	tam ben jai rāi~	裝壞心眼	engine-auto	
初 4-2	ทำใจไม่ได้	Tham Chai Mai Dai	tam jai maiˋ dhaiˋ	無法接受 / 沒法釋懷	engine-auto	
初 4-2	แฟนนอกใจทำใจไม่ได้	Faen Nok Chai Tham Chai Mai Dai	fɛ̄n nɔ̄kˋ jai tam jai maiˋ dhaiˋ	情人劈腿無法接受	engine-auto	
初 4-2	หุ้นตกทำใจไม่ได้	Hun Tok Tham Chai Mai Dai	hunˋ dokˇ tam jai maiˋ dhaiˋ	股票跌慘了無法接受	engine-auto	
初 4-2	ยายเสียทำใจไม่ได้	Yai Sia Tham Chai Mai Dai	yāi sīaˊ tam jai maiˋ dhaiˋ	外婆過世無法接受	engine-auto	
初 4-2	ทำความสะอาด	Tham Khwam Sa-at	tam kwām saˇ ātˇ	打掃	engine-auto	
初 4-2	ช่วยทำความสะอาดให้หน่อยค่ะ	Chuai Tham Khwam Sa-at Hai Noi Kha	chūayˋ tam kwām saˇ ātˇ haiˋ nɔ̄iˇ kaˋ	請幫忙打掃一下	engine-auto	
初 4-2	สะอาด	Sa-at	saˇ ātˇ	乾淨	engine-auto	
初 4-2	ห้องไม่สะอาด	Hong Mai Sa-at	hɔ̄ngˋ maiˋ saˇ ātˇ	房間不乾淨	engine-auto	
初 4-2	แก้วไม่สะอาด	Kaeo Mai Sa-at	gɛ̄uˋ maiˋ saˇ ātˇ	杯子不乾淨	engine-auto	
初 4-2	จานไม่สะอาด	Chan Mai Sa-at	jān maiˋ saˇ ātˇ	盤子不乾淨	engine-auto	
初 4-2	สกปรก	Sokkaprok	sokˇ brokˇ	髒	derived	
初 4-2	ใครทำสกปรก	Khrai Tham Sokkaprok	krai tam sokˇ brokˇ	誰弄髒的？	derived	
初 4-2	ทำไมสกปรกอย่างนี้	Thammai Sokkaprok Yang Ni	tam mai sokˇ brokˇ yāngˋ nī~	為什麼這麼髒？	derived	
初 4-2	อีกที	Ik Thi	īkˇ tī	再一次	book-exact	(book-exact已用引擎重新驗證)
初 4-2	พูดอีกที	Phut Ik Thi	pūtˋ īkˇ tī	再說一次	engine-auto	
初 4-2	ช่วยพูดอีกที	Chuai Phut Ik Thi	chūayˋ pūtˋ īkˇ tī	請再說一次	engine-auto	
初 4-2	ช่วยพูดอีกทีได้ไหมคะ	Chuai Phut Ik Thi Dai Mai Kha	chūayˋ pūtˋ īkˇ tī dhaiˋ maiˊ ka~	請再說一次好嗎？（女）	engine-auto	
初 4-2	ช่วยพูดอีกทีได้ไหมครับ ผมฟังไม่เข้าใจ	Chuai Phut Ik Thi Dai Mai Khrap Phom Fang Mai Khao Chai	chūayˋ pūtˋ īkˇ tī dhaiˋ maiˊ krap~ pomˊ fang maiˋ kāuˋ jai	請再說一次好嗎？我不懂（男）	engine-auto	
初 4-2	ผมฟังไม่เข้าใจ ช่วยพูดอีกทีได้ไหมครับ	Phom Fang Mai Khao Chai Chuai Phut Ik Thi Dai Mai Khrap	pomˊ fang maiˋ kāuˋ jai chūayˋ pūtˋ īkˇ tī dhaiˋ maiˊ krap~	我不懂，請再說一次好嗎？（男）	engine-auto	
初 4-2	ฉันฟังไม่เข้าใจ ช่วยพูดอีกทีได้ไหม	Chan Fang Mai Khao Chai Chuai Phut Ik Thi Dai Mai	chanˊ fang maiˋ kāuˋ jai chūayˋ pūtˋ īkˇ tī dhaiˋ maiˊ	我不懂，可以再說一次嗎？（女）	engine-auto	
初 4-2	ผิด	Phit	pitˇ	錯	book-exact	(book-exact已用引擎重新驗證)
初 4-2	ทำผิด	Tham Phit	tam pitˇ	做錯	engine-auto	
初 4-2	ฉันทำผิดแล้ว	Chan Tham Phit Laeo	chanˊ tam pitˇ lɛ̄u~	我做錯了	engine-auto	
初 4-2	ดูผิด	Du Phit	dhū pitˇ	看錯	engine-auto	
初 4-2	ดูผิดคน	Du Phit Khon	dhū pitˇ kon	看錯人	engine-auto	
初 4-2	ส่งผิดโต๊ะ	Song Phit To	songˇ pitˇ do~	送錯桌	derived	
初 4-2	ผิดทาง	Phit Thang	pitˇ tāng	錯路	engine-auto	
初 4-2	เดินผิดทาง	Doen Phit Thang	dhə̄n pitˇ tāng	走錯路	engine-auto	
初 4-2	พูดผิด	Phut Phit	pūtˋ pitˇ	說錯	engine-auto	
初 4-2	พูดใหม่	Phut Mai	pūtˋ maiˇ	重說	engine-auto	
初 4-2	พูดผิด พูดใหม่	Phut Phit Phut Mai	pūtˋ pitˇ pūtˋ maiˇ	說錯了，重說	engine-auto	
初 4-2	ทำผิด ทำใหม่	Tham Phit Tham Mai	tam pitˇ tam maiˇ	做錯了，重做	engine-auto	
初 4-2	ฉันซื้อผิดแล้ว	Chan Sue Phit Laeo	chanˊ sɯ̄~ pitˇ lɛ̄u~	我買錯了	engine-auto	
初 4-2	ฉันต้องซื้อใหม่	Chan Tong Sue Mai	chanˊ dɔ̄ngˋ sɯ̄~ maiˇ	我得重買	engine-auto	
初 4-2	เลี้ยง	Liang	līang~	養 / 請客	engine-auto	
初 4-2	เลี้ยงหมา	Liang Ma	līang~ māˊ	養狗	engine-auto	
初 4-2	เลี้ยงหมา 5 ตัว	Liang Ma Ha Tua	līang~ māˊ 5 dūa	養五隻狗	engine-auto	
